Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Postal Code,Product ID,Sales,Quantity,Discount,Profit
1,CA-2022-152156,8/11/2022,11/11/2022,Second Class,CG-12520,Consumer,42420,FUR-BO-10001798,261,,,
2,CA-2022-152156,8/11/2022,11/11/2022,Second Class,CG-12520,Consumer,42420,FUR-CH-10000454,731,,,
3,CA-2022-138688,12/6/2022,16/06/2022,Second Class,DV-13045,Corporate,90036,OFF-LA-10000240,14,,,
4,US-2021-108966,11/10/2021,18/10/2021,Standard Class,SO-20335,Consumer,33311,FUR-TA-10000577,957,,,
5,US-2021-108966,11/10/2021,18/10/2021,Standard Class,SO-20335,Consumer,33311,OFF-ST-10000760,22,,,
6,CA-2020-115812,9/6/2020,14/06/2020,Standard Class,BH-11710,Consumer,90032,FUR-FU-10001487,48,,,
7,CA-2020-115812,9/6/2020,14/06/2020,Standard Class,BH-11710,Consumer,90032,OFF-AR-10002833,7,,,
8,CA-2020-115812,9/6/2020,14/06/2020,Standard Class,BH-11710,Consumer,90032,TEC-PH-10002275,907,,,
9,CA-2020-115812,9/6/2020,14/06/2020,Standard Class,BH-11710,Consumer,90032,OFF-BI-10003910,18,,,
10,CA-2020-115812,9/6/2020,14/06/2020,Standard Class,BH-11710,Consumer,90032,OFF-AP-10002892,114,,,
11,CA-2020-115812,9/6/2020,14/06/2020,Standard Class,BH-11710,Consumer,90032,FUR-TA-10001539,1706,,,
12,CA-2020-115812,9/6/2020,14/06/2020,Standard Class,BH-11710,Consumer,90032,TEC-PH-10002033,911,,,
13,CA-2023-114412,15/04/2023,20/04/2023,Standard Class,AA-10480,Consumer,28027,OFF-PA-10002365,15,,,
14,CA-2022-161389,5/12/2022,10/12/2022,Standard Class,IM-15070,Consumer,98103,OFF-BI-10003656,407,,,
15,US-2021-118983,22/11/2021,26/11/2021,Standard Class,HP-14815,Home Office,76106,OFF-AP-10002311,68,,,
16,US-2021-118983,22/11/2021,26/11/2021,Standard Class,HP-14815,Home Office,76106,OFF-BI-10000756,2,,,
17,CA-2020-105893,11/11/2020,18/11/2020,Standard Class,PK-19075,Consumer,53711,OFF-ST-10004186,665,,,
18,CA-2020-167164,13/05/2020,15/05/2020,Second Class,AG-10270,Consumer,84084,OFF-ST-10000107,55,,,
19,CA-2020-143336,27/08/2020,1/9/2020,Second Class,ZD-21925,Consumer,94109,OFF-AR-10003056,8,,,
20,CA-2020-143336,27/08/2020,1/9/2020,Second Class,ZD-21925,Consumer,94109,TEC-PH-10001949,213,,,
21,CA-2020-143336,27/08/2020,1/9/2020,Second Class,ZD-21925,Consumer,94109,OFF-BI-10002215,22,,,
22,CA-2022-137330,9/12/2022,13/12/2022,Standard Class,KB-16585,Corporate,68025,OFF-AR-10000246,19,,,
23,CA-2022-137330,9/12/2022,13/12/2022,Standard Class,KB-16585,Corporate,68025,OFF-AP-10001492,60,,,
24,US-2023-156909,16/07/2023,18/07/2023,Second Class,SF-20065,Consumer,19140,FUR-CH-10002774,71,,,
25,CA-2021-106320,25/09/2021,30/09/2021,Standard Class,EB-13870,Consumer,84057,FUR-TA-10000577,1044,,,
26,CA-2022-121755,16/01/2022,20/01/2022,Second Class,EH-13945,Consumer,90049,OFF-BI-10001634,11,,,
27,CA-2022-121755,16/01/2022,20/01/2022,Second Class,EH-13945,Consumer,90049,TEC-AC-10003027,90,,,
28,US-2021-150630,17/09/2021,21/09/2021,Standard Class,TB-21520,Consumer,19140,FUR-BO-10004834,3083,,,
29,US-2021-150630,17/09/2021,21/09/2021,Standard Class,TB-21520,Consumer,19140,OFF-BI-10000474,9,,,
30,US-2021-150630,17/09/2021,21/09/2021,Standard Class,TB-21520,Consumer,19140,FUR-FU-10004848,124,,,
31,US-2021-150630,17/09/2021,21/09/2021,Standard Class,TB-21520,Consumer,19140,OFF-EN-10001509,3,,,
32,US-2021-150630,17/09/2021,21/09/2021,Standard Class,TB-21520,Consumer,19140,OFF-AR-10004042,86,,,
33,US-2021-150630,17/09/2021,21/09/2021,Standard Class,TB-21520,Consumer,19140,OFF-BI-10001525,6,,,
34,US-2021-150630,17/09/2021,21/09/2021,Standard Class,TB-21520,Consumer,19140,OFF-AR-10001683,15,,,
35,CA-2023-107727,19/10/2023,23/10/2023,Second Class,MA-17560,Home Office,77095,OFF-PA-10000249,29,,,
36,CA-2022-117590,8/12/2022,10/12/2022,First Class,GH-14485,Corporate,75080,TEC-PH-10004977,1097,,,
37,CA-2022-117590,8/12/2022,10/12/2022,First Class,GH-14485,Corporate,75080,FUR-FU-10003664,190,,,
38,CA-2021-117415,27/12/2021,31/12/2021,Standard Class,SN-20710,Home Office,77041,OFF-EN-10002986,113,,,
39,CA-2021-117415,27/12/2021,31/12/2021,Standard Class,SN-20710,Home Office,77041,FUR-BO-10002545,532,,,
40,CA-2021-117415,27/12/2021,31/12/2021,Standard Class,SN-20710,Home Office,77041,FUR-CH-10004218,212,,,
